match_id,puuid,team_gold,enemy_gold,dragon,win,player_1_kills,player_1_deaths,player_1_assists,player_2_kills,player_2_deaths,player_2_assists,player_3_kills,player_3_deaths,player_3_assists,player_4_kills,player_4_deaths,player_4_assists,player_5_kills,player_5_deaths,player_5_assists,player_6_kills,player_6_deaths,player_6_assists,player_7_kills,player_7_deaths,player_7_assists,player_8_kills,player_8_deaths,player_8_assists,player_9_kills,player_9_deaths,player_9_assists,player_10_kills,player_10_deaths,player_10_assists,gold_diff,total_kills,total_deaths,total_assists,kda_ratio,gold_per_kill
EUW1_7522899028,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,13690,15805,2,False,2,0,0,0,1,0,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2115,3,8,0,0.375,4563.333333333333
EUW1_7522855373,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,16023,14053,1,True,1,1,1,2,0,2,2,1,0,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,8,4,8,4.0,2002.875
EUW1_7522686799,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15077,14832,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,1,2,4,1,1,0,1,0,1,0,245,8,7,4,1.7142857142857142,1884.625
EUW1_7522671832,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,2536,2541,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0.0,2536.0
EUW1_7522622034,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14254,13181,0,True,1,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,5,1,1,6.0,2850.8
EUW1_7522563906,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14952,13928,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,1,0,1,0,2,1,1,2,1024,6,4,5,2.75,2492.0
EUW1_7517622123,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,13803,16293,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1,2,0,2,4,0,-2490,4,8,2,0.75,3450.75
EUW1_7517559044,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,16685,14789,1,False,1,2,0,2,0,3,4,1,2,1,0,4,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,9,5,14,4.6,1853.888888888889
EUW1_7513960458,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14669,16434,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,1,3,2,0,0,1,0,1,1,-1765,4,8,6,1.25,3667.25
EUW1_7513916800,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,13882,15198,2,False,2,2,0,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1316,3,6,2,0.8333333333333334,4627.333333333333
